// Time;Sensor5;Sensor6
17 giu 2025, 00:00:00;0,00;68,22
17 giu 2025, 01:00:00;0,00;0,00
17 giu 2025, 02:00:00;27,10;69,22
17 giu 2025, 03:00:00;27,08;69,29
17 giu 2025, 04:00:00;27,05;66,98
17 giu 2025, 05:00:00;27,01;69,00
17 giu 2025, 06:00:00;26,89;68,83
17 giu 2025, 07:00:00;26,80;66,67
17 giu 2025, 08:00:00;26,33;67,54
17 giu 2025, 09:00:00;26,38;68,89
17 giu 2025, 10:00:00;26,27;66,14
17 giu 2025, 11:00:00;26,18;66,25
17 giu 2025, 12:00:00;26,11;65,96
17 giu 2025, 13:00:00;26,26;63,13
17 giu 2025, 14:00:00;25,78;66,27
17 giu 2025, 15:00:00;25,76;64,13
17 giu 2025, 16:00:00;0,00;61,90
17 giu 2025, 17:00:00;25,64;63,93
17 giu 2025, 18:00:00;25,85;63,09
17 giu 2025, 19:00:00;26,09;58,76
17 giu 2025, 20:00:00;26,02;58,97
17 giu 2025, 21:00:00;26,11;60,63
17 giu 2025, 22:00:00;26,23;58,82
17 giu 2025, 23:00:00;26,26;61,22
18 giu 2025, 00:00:00;26,18;60,22
18 giu 2025, 01:00:00;26,27;55,95
18 giu 2025, 02:00:00;26,25;59,55
18 giu 2025, 03:00:00;26,25;58,08
18 giu 2025, 04:00:00;26,23;56,24
18 giu 2025, 05:00:00;26,20;59,77
18 giu 2025, 06:00:00;26,24;54,14
18 giu 2025, 07:00:00;26,22;0,00
18 giu 2025, 08:00:00;26,04;58,87
18 giu 2025, 09:00:00;26,04;54,58
18 giu 2025, 10:00:00;26,09;52,75
18 giu 2025, 11:00:00;26,05;57,79
18 giu 2025, 12:00:00;26,05;56,62
18 giu 2025, 13:00:00;26,09;52,69
18 giu 2025, 14:00:00;26,11;0,00
18 giu 2025, 15:00:00;26,11;52,45
18 giu 2025, 16:00:00;26,07;53,40
18 giu 2025, 17:00:00;26,09;55,71
18 giu 2025, 18:00:00;26,32;53,08
18 giu 2025, 19:00:00;26,41;56,11
18 giu 2025, 20:00:00;26,31;55,55
18 giu 2025, 21:00:00;26,45;53,94
18 giu 2025, 22:00:00;26,57;55,51
18 giu 2025, 23:00:00;26,66;0,00
19 giu 2025, 00:00:00;26,66;53,88
19 giu 2025, 01:00:00;26,69;55,88
19 giu 2025, 02:00:00;26,71;53,85
19 giu 2025, 03:00:00;26,70;53,70
19 giu 2025, 04:00:00;26,84;56,04
19 giu 2025, 05:00:00;26,68;54,48
19 giu 2025, 06:00:00;26,68;54,31
19 giu 2025, 07:00:00;26,58;54,77
19 giu 2025, 08:00:00;26,40;54,17
19 giu 2025, 09:00:00;26,35;54,63
19 giu 2025, 10:00:00;0,00;0,00
19 giu 2025, 11:00:00;26,33;53,93
19 giu 2025, 12:00:00;26,42;54,68
19 giu 2025, 13:00:00;26,36;53,84
19 giu 2025, 14:00:00;26,40;54,20
19 giu 2025, 15:00:00;26,39;55,06
19 giu 2025, 16:00:00;26,28;54,13
19 giu 2025, 17:00:00;26,30;54,62
19 giu 2025, 18:00:00;26,22;54,83
19 giu 2025, 19:00:00;26,36;55,21
19 giu 2025, 20:00:00;26,43;55,40
19 giu 2025, 21:00:00;26,42;56,76
19 giu 2025, 22:00:00;26,54;56,45
19 giu 2025, 23:00:00;26,58;0,00
20 giu 2025, 00:00:00;26,60;56,59
20 giu 2025, 01:00:00;26,65;56,49
20 giu 2025, 02:00:00;26,66;56,76
20 giu 2025, 03:00:00;26,68;56,87
20 giu 2025, 04:00:00;26,70;57,58
20 giu 2025, 05:00:00;26,72;57,31
20 giu 2025, 06:00:00;26,67;58,43
20 giu 2025, 07:00:00;26,67;58,37
20 giu 2025, 08:00:00;0,00;0,00
20 giu 2025, 09:00:00;26,46;59,12
20 giu 2025, 10:00:00;26,39;58,37
20 giu 2025, 11:00:00;26,37;58,13
20 giu 2025, 12:00:00;26,31;58,18
20 giu 2025, 13:00:00;26,25;59,26
20 giu 2025, 14:00:00;26,35;58,50
20 giu 2025, 15:00:00;26,23;58,69
20 giu 2025, 16:00:00;26,08;58,88
20 giu 2025, 17:00:00;26,01;59,09
20 giu 2025, 18:00:00;26,10;58,49
20 giu 2025, 19:00:00;26,20;60,23
20 giu 2025, 20:00:00;26,17;60,55
20 giu 2025, 21:00:00;26,32;60,75
20 giu 2025, 22:00:00;26,47;60,68
20 giu 2025, 23:00:00;26,45;60,68
21 giu 2025, 00:00:00;26,66;60,57
21 giu 2025, 01:00:00;26,63;61,19
21 giu 2025, 02:00:00;26,63;61,53
21 giu 2025, 03:00:00;26,68;61,06
21 giu 2025, 04:00:00;26,75;61,47
21 giu 2025, 05:00:00;26,67;61,97
21 giu 2025, 06:00:00;26,81;61,45
21 giu 2025, 07:00:00;26,78;61,46
21 giu 2025, 08:00:00;26,79;61,96
21 giu 2025, 09:00:00;26,98;60,98
21 giu 2025, 10:00:00;27,10;61,10
21 giu 2025, 11:00:00;27,14;61,22
21 giu 2025, 12:00:00;27,16;61,54
21 giu 2025, 13:00:00;27,33;62,33
21 giu 2025, 14:00:00;27,24;63,21
21 giu 2025, 15:00:00;27,45;61,50
21 giu 2025, 16:00:00;27,51;63,12
21 giu 2025, 17:00:00;27,49;62,07
21 giu 2025, 18:00:00;27,55;62,50
21 giu 2025, 19:00:00;27,57;63,43
21 giu 2025, 20:00:00;27,55;64,11
21 giu 2025, 21:00:00;27,51;62,81
21 giu 2025, 22:00:00;27,45;63,24
21 giu 2025, 23:00:00;27,30;64,74
22 giu 2025, 00:00:00;27,01;63,63
22 giu 2025, 01:00:00;27,19;0,00
22 giu 2025, 02:00:00;26,84;63,72
22 giu 2025, 03:00:00;26,65;62,45
22 giu 2025, 04:00:00;26,82;63,10
22 giu 2025, 05:00:00;26,57;62,79
22 giu 2025, 06:00:00;26,59;63,02
22 giu 2025, 07:00:00;26,59;63,09
22 giu 2025, 08:00:00;26,69;62,36
22 giu 2025, 09:00:00;26,80;62,59
22 giu 2025, 10:00:00;27,02;61,90
22 giu 2025, 11:00:00;27,18;61,45
22 giu 2025, 12:00:00;27,14;62,09
22 giu 2025, 13:00:00;27,34;60,92
22 giu 2025, 14:00:00;27,43;60,88
22 giu 2025, 15:00:00;27,46;61,13
22 giu 2025, 16:00:00;27,44;60,84
22 giu 2025, 17:00:00;27,53;60,17
22 giu 2025, 18:00:00;27,49;60,71
22 giu 2025, 19:00:00;27,46;60,12
22 giu 2025, 20:00:00;27,57;60,01
22 giu 2025, 21:00:00;27,56;60,12
22 giu 2025, 22:00:00;27,52;60,49
22 giu 2025, 23:00:00;27,56;59,81
23 giu 2025, 00:00:00;27,27;59,72
23 giu 2025, 01:00:00;27,00;60,49
23 giu 2025, 02:00:00;27,50;59,59
23 giu 2025, 03:00:00;27,48;59,86
23 giu 2025, 04:00:00;26,94;59,91
23 giu 2025, 05:00:00;27,42;59,93
23 giu 2025, 06:00:00;26,88;0,00
23 giu 2025, 07:00:00;26,38;60,43
23 giu 2025, 08:00:00;27,46;60,03
23 giu 2025, 09:00:00;27,62;60,07
23 giu 2025, 10:00:00;27,52;60,22
23 giu 2025, 11:00:00;27,74;60,39
23 giu 2025, 12:00:00;27,85;60,38
23 giu 2025, 13:00:00;27,69;60,27
23 giu 2025, 14:00:00;28,04;60,51
23 giu 2025, 15:00:00;28,01;60,65
23 giu 2025, 16:00:00;27,81;49,99
23 giu 2025, 17:00:00;27,94;61,81
23 giu 2025, 18:00:00;27,92;61,37
23 giu 2025, 19:00:00;27,89;61,76
23 giu 2025, 20:00:00;27,88;62,08
23 giu 2025, 21:00:00;27,80;0,00
23 giu 2025, 22:00:00;27,81;62,63
23 giu 2025, 23:00:00;27,81;62,62
24 giu 2025, 00:00:00;27,72;62,45
24 giu 2025, 01:00:00;27,70;54,17
24 giu 2025, 02:00:00;27,65;63,38
24 giu 2025, 03:00:00;27,51;63,55
24 giu 2025, 04:00:00;27,44;63,14
24 giu 2025, 05:00:00;27,41;63,84
24 giu 2025, 06:00:00;27,47;63,65
24 giu 2025, 07:00:00;27,39;63,79
24 giu 2025, 08:00:00;27,47;63,63
24 giu 2025, 09:00:00;27,51;63,92
24 giu 2025, 10:00:00;27,49;63,98
24 giu 2025, 11:00:00;27,58;63,78
24 giu 2025, 12:00:00;27,66;64,13
24 giu 2025, 13:00:00;27,79;64,01
24 giu 2025, 14:00:00;27,86;63,70
24 giu 2025, 15:00:00;27,99;64,36
24 giu 2025, 16:00:00;28,00;64,10
24 giu 2025, 17:00:00;28,02;64,08
24 giu 2025, 18:00:00;28,04;64,95
24 giu 2025, 19:00:00;28,00;64,74
24 giu 2025, 20:00:00;28,00;64,51
24 giu 2025, 21:00:00;28,00;65,78
24 giu 2025, 22:00:00;27,97;65,41
24 giu 2025, 23:00:00;27,95;0,00
25 giu 2025, 00:00:00;27,92;66,97
25 giu 2025, 01:00:00;27,86;0,00
25 giu 2025, 02:00:00;27,84;65,84
25 giu 2025, 03:00:00;27,83;67,07
25 giu 2025, 04:00:00;27,80;66,75
25 giu 2025, 05:00:00;27,79;0,00
25 giu 2025, 06:00:00;27,77;67,18
25 giu 2025, 07:00:00;27,75;0,00
25 giu 2025, 08:00:00;27,48;67,02
25 giu 2025, 09:00:00;27,36;67,59
25 giu 2025, 10:00:00;27,24;66,77
25 giu 2025, 11:00:00;27,16;67,05
25 giu 2025, 12:00:00;27,14;66,36
25 giu 2025, 13:00:00;26,96;66,47
25 giu 2025, 14:00:00;27,05;67,26
25 giu 2025, 15:00:00;27,02;66,52
25 giu 2025, 16:00:00;26,87;66,96
25 giu 2025, 17:00:00;26,94;67,27
25 giu 2025, 18:00:00;27,14;66,62
25 giu 2025, 19:00:00;0,00;0,00
25 giu 2025, 20:00:00;27,18;67,24
25 giu 2025, 21:00:00;27,41;66,77
25 giu 2025, 22:00:00;26,10;66,76
25 giu 2025, 23:00:00;27,32;67,34
26 giu 2025, 00:00:00;27,60;66,90
26 giu 2025, 01:00:00;26,52;66,71
26 giu 2025, 02:00:00;27,56;67,27
26 giu 2025, 03:00:00;27,62;67,25
26 giu 2025, 04:00:00;25,45;66,86
26 giu 2025, 05:00:00;27,57;67,32
26 giu 2025, 06:00:00;27,56;67,36
26 giu 2025, 07:00:00;26,50;66,87
26 giu 2025, 08:00:00;27,41;67,32
26 giu 2025, 09:00:00;27,40;67,34
26 giu 2025, 10:00:00;25,70;66,77
26 giu 2025, 11:00:00;27,32;67,09
26 giu 2025, 12:00:00;27,26;67,24
26 giu 2025, 13:00:00;25,98;66,96
26 giu 2025, 14:00:00;27,42;67,20
26 giu 2025, 15:00:00;27,36;67,30
26 giu 2025, 16:00:00;27,44;67,11
26 giu 2025, 17:00:00;27,45;67,60
26 giu 2025, 18:00:00;27,47;67,57
26 giu 2025, 19:00:00;27,57;67,99
26 giu 2025, 20:00:00;27,64;68,08
26 giu 2025, 21:00:00;27,61;68,36
26 giu 2025, 22:00:00;27,64;68,34
26 giu 2025, 23:00:00;27,69;68,44
27 giu 2025, 00:00:00;27,34;68,38
27 giu 2025, 01:00:00;27,55;68,69
27 giu 2025, 02:00:00;0,00;68,26
27 giu 2025, 03:00:00;27,23;68,86
27 giu 2025, 04:00:00;27,65;68,91
27 giu 2025, 05:00:00;27,63;68,84
27 giu 2025, 06:00:00;27,64;68,81
27 giu 2025, 07:00:00;27,59;69,17
27 giu 2025, 08:00:00;27,59;68,82
27 giu 2025, 09:00:00;27,81;67,63
27 giu 2025, 10:00:00;28,54;66,44
27 giu 2025, 11:00:00;27,90;66,43
27 giu 2025, 12:00:00;28,13;65,95
27 giu 2025, 13:00:00;28,37;0,00
27 giu 2025, 14:00:00;27,92;66,46
27 giu 2025, 15:00:00;28,04;65,59
27 giu 2025, 16:00:00;27,95;66,74
27 giu 2025, 17:00:00;27,87;66,64
27 giu 2025, 18:00:00;27,84;65,51
27 giu 2025, 19:00:00;27,85;0,00
27 giu 2025, 20:00:00;27,85;67,14
27 giu 2025, 21:00:00;28,02;66,86
27 giu 2025, 22:00:00;28,01;66,16
27 giu 2025, 23:00:00;28,02;67,99
28 giu 2025, 00:00:00;28,05;66,55
28 giu 2025, 01:00:00;28,02;67,85
28 giu 2025, 02:00:00;28,05;68,92
28 giu 2025, 03:00:00;27,98;67,69
28 giu 2025, 04:00:00;27,98;67,29
28 giu 2025, 05:00:00;28,00;67,17
28 giu 2025, 06:00:00;28,00;66,44
28 giu 2025, 07:00:00;27,99;66,17
28 giu 2025, 08:00:00;28,14;65,18
28 giu 2025, 09:00:00;28,27;63,71
28 giu 2025, 10:00:00;28,31;64,81
28 giu 2025, 11:00:00;28,36;62,05
28 giu 2025, 12:00:00;28,54;0,00
28 giu 2025, 13:00:00;28,56;64,01
28 giu 2025, 14:00:00;28,70;61,72
28 giu 2025, 15:00:00;28,78;61,72
28 giu 2025, 16:00:00;28,75;64,00
28 giu 2025, 17:00:00;28,80;60,48
28 giu 2025, 18:00:00;28,88;61,95
28 giu 2025, 19:00:00;28,74;62,33
28 giu 2025, 20:00:00;28,81;62,32
28 giu 2025, 21:00:00;28,82;62,05
28 giu 2025, 22:00:00;28,80;61,82
28 giu 2025, 23:00:00;28,82;61,47
29 giu 2025, 00:00:00;28,79;61,09
29 giu 2025, 01:00:00;28,75;61,75
29 giu 2025, 02:00:00;28,78;60,88
29 giu 2025, 03:00:00;28,74;61,25
29 giu 2025, 04:00:00;28,76;62,61
29 giu 2025, 05:00:00;28,77;61,59
29 giu 2025, 06:00:00;28,78;60,99
29 giu 2025, 07:00:00;28,77;60,11
29 giu 2025, 08:00:00;28,85;60,86
29 giu 2025, 09:00:00;28,86;61,00
29 giu 2025, 10:00:00;28,84;0,00
29 giu 2025, 11:00:00;29,05;60,12
29 giu 2025, 12:00:00;0,00;60,87
29 giu 2025, 13:00:00;29,07;0,00
29 giu 2025, 14:00:00;29,11;60,26
29 giu 2025, 15:00:00;29,49;60,19
29 giu 2025, 16:00:00;29,13;57,60
29 giu 2025, 17:00:00;29,16;58,93
29 giu 2025, 18:00:00;29,17;59,43
29 giu 2025, 19:00:00;29,31;57,37
29 giu 2025, 20:00:00;29,19;0,00
29 giu 2025, 21:00:00;29,19;58,73
29 giu 2025, 22:00:00;28,56;56,61
29 giu 2025, 23:00:00;29,22;56,82
30 giu 2025, 00:00:00;29,32;58,42
30 giu 2025, 01:00:00;29,37;55,87
30 giu 2025, 02:00:00;0,00;56,82
30 giu 2025, 03:00:00;29,25;0,00
30 giu 2025, 04:00:00;29,33;55,86
30 giu 2025, 05:00:00;29,09;56,54
30 giu 2025, 06:00:00;29,28;56,54
30 giu 2025, 07:00:00;28,68;55,58
30 giu 2025, 08:00:00;28,10;56,41
30 giu 2025, 09:00:00;29,40;55,93
30 giu 2025, 10:00:00;28,81;55,47
30 giu 2025, 11:00:00;27,16;56,46
30 giu 2025, 12:00:00;29,52;56,33
30 giu 2025, 13:00:00;28,95;55,24
30 giu 2025, 14:00:00;27,05;56,16
30 giu 2025, 15:00:00;28,91;56,11
30 giu 2025, 16:00:00;28,28;55,29
30 giu 2025, 17:00:00;28,86;56,13
30 giu 2025, 18:00:00;28,99;56,31
30 giu 2025, 19:00:00;28,32;55,56
30 giu 2025, 20:00:00;28,79;55,62
30 giu 2025, 21:00:00;28,82;54,89
30 giu 2025, 22:00:00;28,13;54,64
30 giu 2025, 23:00:00;28,34;55,24
1 lug 2025, 00:00:00;29,32;54,95
1 lug 2025, 01:00:00;28,67;54,52
1 lug 2025, 02:00:00;28,68;55,30
1 lug 2025, 03:00:00;28,76;54,99
1 lug 2025, 04:00:00;27,89;54,85
1 lug 2025, 05:00:00;29,53;56,03
1 lug 2025, 06:00:00;29,25;55,14
1 lug 2025, 07:00:00;27,60;55,30
1 lug 2025, 08:00:00;28,30;55,30
1 lug 2025, 09:00:00;27,99;54,52
1 lug 2025, 10:00:00;28,35;0,00
1 lug 2025, 11:00:00;28,44;55,70
1 lug 2025, 12:00:00;28,60;55,52
1 lug 2025, 13:00:00;28,75;55,28
1 lug 2025, 14:00:00;28,33;56,10
1 lug 2025, 15:00:00;28,44;55,32
1 lug 2025, 16:00:00;28,41;55,92
1 lug 2025, 17:00:00;28,34;56,32
1 lug 2025, 18:00:00;28,34;55,90
1 lug 2025, 19:00:00;28,64;55,70
1 lug 2025, 20:00:00;28,55;57,19
1 lug 2025, 21:00:00;28,52;56,75
1 lug 2025, 22:00:00;27,91;58,38
1 lug 2025, 23:00:00;28,89;0,00
2 lug 2025, 00:00:00;29,31;58,12
2 lug 2025, 01:00:00;28,05;58,10
2 lug 2025, 02:00:00;29,17;57,75
2 lug 2025, 03:00:00;28,20;57,37
2 lug 2025, 04:00:00;28,18;58,15
2 lug 2025, 05:00:00;0,00;0,00
2 lug 2025, 06:00:00;29,14;57,79
2 lug 2025, 07:00:00;28,95;58,02
2 lug 2025, 08:00:00;28,82;57,91
2 lug 2025, 09:00:00;28,58;0,00
2 lug 2025, 10:00:00;28,45;56,78
2 lug 2025, 11:00:00;28,34;57,26
2 lug 2025, 12:00:00;28,25;56,66
2 lug 2025, 13:00:00;28,21;56,70
2 lug 2025, 14:00:00;28,17;57,17
2 lug 2025, 15:00:00;27,77;56,75
2 lug 2025, 16:00:00;28,02;57,13
2 lug 2025, 17:00:00;27,93;58,58
2 lug 2025, 18:00:00;27,81;58,07
2 lug 2025, 19:00:00;28,16;57,33
2 lug 2025, 20:00:00;28,13;57,21
2 lug 2025, 21:00:00;28,11;57,83
2 lug 2025, 22:00:00;28,21;56,37
2 lug 2025, 23:00:00;28,47;56,81
3 lug 2025, 00:00:00;28,01;57,61
3 lug 2025, 01:00:00;26,90;56,17
3 lug 2025, 02:00:00;27,34;57,09
3 lug 2025, 03:00:00;28,62;43,17
3 lug 2025, 04:00:00;27,85;56,33
3 lug 2025, 05:00:00;27,18;56,69
3 lug 2025, 06:00:00;28,78;58,29
3 lug 2025, 07:00:00;28,11;56,24
3 lug 2025, 08:00:00;27,00;57,38
3 lug 2025, 09:00:00;28,46;57,90
3 lug 2025, 10:00:00;28,65;56,29
3 lug 2025, 11:00:00;28,36;57,59
3 lug 2025, 12:00:00;28,40;58,61
3 lug 2025, 13:00:00;28,32;56,96
3 lug 2025, 14:00:00;27,89;0,00
3 lug 2025, 15:00:00;27,71;58,17
3 lug 2025, 16:00:00;28,02;58,89
3 lug 2025, 17:00:00;27,85;59,45
3 lug 2025, 18:00:00;27,93;59,91
3 lug 2025, 19:00:00;28,32;60,60
3 lug 2025, 20:00:00;28,29;60,40
3 lug 2025, 21:00:00;28,37;60,79
3 lug 2025, 22:00:00;28,61;62,24
3 lug 2025, 23:00:00;28,82;61,38
4 lug 2025, 00:00:00;28,77;61,42
4 lug 2025, 01:00:00;28,85;0,00
4 lug 2025, 02:00:00;28,91;61,38
4 lug 2025, 03:00:00;28,82;61,57
4 lug 2025, 04:00:00;28,92;61,99
4 lug 2025, 05:00:00;29,04;0,00
4 lug 2025, 06:00:00;0,00;62,07
4 lug 2025, 07:00:00;28,85;62,24
4 lug 2025, 08:00:00;28,59;62,33
4 lug 2025, 09:00:00;28,80;62,44
4 lug 2025, 10:00:00;28,63;62,52
4 lug 2025, 11:00:00;28,46;63,12
4 lug 2025, 12:00:00;28,21;62,95
4 lug 2025, 13:00:00;28,27;61,78
4 lug 2025, 14:00:00;28,25;63,18
4 lug 2025, 15:00:00;27,91;63,71
4 lug 2025, 16:00:00;27,89;62,74
4 lug 2025, 17:00:00;27,62;63,18
4 lug 2025, 18:00:00;27,73;63,97
4 lug 2025, 19:00:00;28,07;63,69
4 lug 2025, 20:00:00;28,06;0,00
4 lug 2025, 21:00:00;28,32;64,63
4 lug 2025, 22:00:00;28,33;64,37
4 lug 2025, 23:00:00;28,47;65,41
5 lug 2025, 00:00:00;28,64;65,80
5 lug 2025, 01:00:00;28,53;65,27
5 lug 2025, 02:00:00;28,64;65,51
5 lug 2025, 03:00:00;28,63;66,11
5 lug 2025, 04:00:00;28,58;65,48
5 lug 2025, 05:00:00;28,67;65,03
5 lug 2025, 06:00:00;28,58;65,18
5 lug 2025, 07:00:00;28,62;66,14
5 lug 2025, 08:00:00;28,80;66,48
5 lug 2025, 09:00:00;28,87;66,92
5 lug 2025, 10:00:00;28,83;65,85
5 lug 2025, 11:00:00;28,86;66,10
5 lug 2025, 12:00:00;29,09;67,36
5 lug 2025, 13:00:00;0,00;67,31
5 lug 2025, 14:00:00;29,19;0,00
5 lug 2025, 15:00:00;27,54;67,55
5 lug 2025, 16:00:00;29,11;67,36
5 lug 2025, 17:00:00;29,22;67,03
5 lug 2025, 18:00:00;29,25;67,50
5 lug 2025, 19:00:00;27,58;67,41
5 lug 2025, 20:00:00;29,28;67,65
5 lug 2025, 21:00:00;28,71;67,65
5 lug 2025, 22:00:00;28,20;67,06
5 lug 2025, 23:00:00;27,83;67,52
6 lug 2025, 00:00:00;29,26;67,14
6 lug 2025, 01:00:00;29,27;67,25
6 lug 2025, 02:00:00;27,02;67,80
6 lug 2025, 03:00:00;29,18;67,54
6 lug 2025, 04:00:00;29,18;67,37
6 lug 2025, 05:00:00;29,16;67,41
6 lug 2025, 06:00:00;29,15;67,10
6 lug 2025, 07:00:00;29,16;54,41
6 lug 2025, 08:00:00;29,11;67,27
6 lug 2025, 09:00:00;29,13;67,05
6 lug 2025, 10:00:00;29,14;67,01
6 lug 2025, 11:00:00;29,10;67,17
6 lug 2025, 12:00:00;29,10;66,92
6 lug 2025, 13:00:00;29,06;66,72
6 lug 2025, 14:00:00;29,01;66,65
6 lug 2025, 15:00:00;0,00;66,37
6 lug 2025, 16:00:00;29,01;66,48
6 lug 2025, 17:00:00;28,91;65,77
6 lug 2025, 18:00:00;28,87;66,00
6 lug 2025, 19:00:00;28,86;65,31
6 lug 2025, 20:00:00;28,86;65,03
6 lug 2025, 21:00:00;28,84;65,84
6 lug 2025, 22:00:00;28,77;65,42
6 lug 2025, 23:00:00;28,79;64,94
7 lug 2025, 00:00:00;28,71;65,86
7 lug 2025, 01:00:00;28,70;65,32
7 lug 2025, 02:00:00;28,69;65,00
7 lug 2025, 03:00:00;28,60;65,18
7 lug 2025, 04:00:00;28,68;65,52
7 lug 2025, 05:00:00;28,58;64,57
7 lug 2025, 06:00:00;28,53;65,09
7 lug 2025, 07:00:00;28,53;65,19
7 lug 2025, 08:00:00;28,29;65,52
7 lug 2025, 09:00:00;28,22;64,85
7 lug 2025, 10:00:00;28,52;64,87
7 lug 2025, 11:00:00;28,23;65,02
7 lug 2025, 12:00:00;28,13;65,01
7 lug 2025, 13:00:00;28,12;0,00
7 lug 2025, 14:00:00;27,97;65,05
7 lug 2025, 15:00:00;27,98;65,02
7 lug 2025, 16:00:00;28,03;64,87
7 lug 2025, 17:00:00;27,84;64,88
7 lug 2025, 18:00:00;27,73;64,37
7 lug 2025, 19:00:00;27,89;64,54
7 lug 2025, 20:00:00;27,88;64,86
7 lug 2025, 21:00:00;27,75;64,24
7 lug 2025, 22:00:00;27,87;64,21
7 lug 2025, 23:00:00;27,87;64,67
8 lug 2025, 00:00:00;27,65;64,26
8 lug 2025, 01:00:00;27,45;64,79
8 lug 2025, 02:00:00;27,77;65,06
8 lug 2025, 03:00:00;27,58;64,04
8 lug 2025, 04:00:00;0,00;64,48
8 lug 2025, 05:00:00;27,13;63,79
8 lug 2025, 06:00:00;27,15;62,38
8 lug 2025, 07:00:00;27,13;63,91
8 lug 2025, 08:00:00;26,84;62,11
8 lug 2025, 09:00:00;26,87;59,30
8 lug 2025, 10:00:00;26,93;60,46
8 lug 2025, 11:00:00;26,95;60,78
8 lug 2025, 12:00:00;27,16;49,96
8 lug 2025, 13:00:00;27,20;54,31
8 lug 2025, 14:00:00;26,95;57,03
8 lug 2025, 15:00:00;26,86;56,52
8 lug 2025, 16:00:00;26,76;55,97
8 lug 2025, 17:00:00;26,61;57,00
8 lug 2025, 18:00:00;26,79;56,25
8 lug 2025, 19:00:00;26,79;57,07
8 lug 2025, 20:00:00;26,73;56,35
8 lug 2025, 21:00:00;26,82;55,65
8 lug 2025, 22:00:00;26,85;55,99
8 lug 2025, 23:00:00;26,77;54,58
9 lug 2025, 00:00:00;26,90;55,95
9 lug 2025, 01:00:00;26,80;55,54
9 lug 2025, 02:00:00;26,66;55,25
9 lug 2025, 03:00:00;26,72;55,32
9 lug 2025, 04:00:00;26,68;53,81
9 lug 2025, 05:00:00;26,60;53,59
9 lug 2025, 06:00:00;26,61;52,52
9 lug 2025, 07:00:00;4,20;2,63
9 lug 2025, 08:00:00;15,65;7,91
9 lug 2025, 09:00:00;11,60;7,91
9 lug 2025, 10:00:00;12,04;10,25
9 lug 2025, 11:00:00;21,77;10,26
9 lug 2025, 12:00:00;20,72;11,54
9 lug 2025, 13:00:00;17,40;25,07
9 lug 2025, 14:00:00;25,25;26,15
9 lug 2025, 15:00:00;23,55;22,94
9 lug 2025, 16:00:00;24,26;29,10
9 lug 2025, 17:00:00;25,03;24,15
9 lug 2025, 18:00:00;24,70;32,41
9 lug 2025, 19:00:00;25,78;32,44
9 lug 2025, 20:00:00;25,73;26,10
9 lug 2025, 21:00:00;24,83;35,65
9 lug 2025, 22:00:00;26,09;33,96
9 lug 2025, 23:00:00;26,15;27,30
10 lug 2025, 00:00:00;26,13;36,23
10 lug 2025, 01:00:00;26,21;33,13
10 lug 2025, 02:00:00;26,13;28,59
10 lug 2025, 03:00:00;26,16;26,21
10 lug 2025, 04:00:00;26,19;39,39
10 lug 2025, 05:00:00;26,19;40,17
10 lug 2025, 06:00:00;26,15;39,03
10 lug 2025, 07:00:00;25,86;40,28
10 lug 2025, 08:00:00;25,65;40,64
10 lug 2025, 09:00:00;25,61;43,20
10 lug 2025, 10:00:00;25,69;42,64
10 lug 2025, 11:00:00;25,67;42,01
10 lug 2025, 12:00:00;25,95;44,44
10 lug 2025, 13:00:00;25,88;44,49
10 lug 2025, 14:00:00;25,88;46,61
10 lug 2025, 15:00:00;25,98;44,82
10 lug 2025, 16:00:00;25,89;46,53
10 lug 2025, 17:00:00;25,83;46,92
10 lug 2025, 18:00:00;25,89;46,52
10 lug 2025, 19:00:00;26,04;47,31
10 lug 2025, 20:00:00;26,01;47,44
10 lug 2025, 21:00:00;26,12;46,41
10 lug 2025, 22:00:00;26,19;48,11
10 lug 2025, 23:00:00;26,12;47,74
11 lug 2025, 00:00:00;26,21;46,58
11 lug 2025, 01:00:00;26,24;48,54
11 lug 2025, 02:00:00;26,25;48,75
11 lug 2025, 03:00:00;26,20;47,54
11 lug 2025, 04:00:00;26,21;48,55
11 lug 2025, 05:00:00;26,22;48,52
11 lug 2025, 06:00:00;26,10;48,54
11 lug 2025, 07:00:00;25,91;49,13
11 lug 2025, 08:00:00;25,66;48,57
11 lug 2025, 09:00:00;25,68;48,03
11 lug 2025, 10:00:00;25,46;49,16
11 lug 2025, 11:00:00;25,34;48,17
11 lug 2025, 12:00:00;25,29;48,97
11 lug 2025, 13:00:00;25,24;50,35
11 lug 2025, 14:00:00;25,33;49,12
11 lug 2025, 15:00:00;25,24;50,80
11 lug 2025, 16:00:00;25,18;50,54
11 lug 2025, 17:00:00;25,14;49,94
11 lug 2025, 18:00:00;25,34;50,63
11 lug 2025, 19:00:00;25,51;50,64
11 lug 2025, 20:00:00;25,53;49,94
11 lug 2025, 21:00:00;25,66;50,78
11 lug 2025, 22:00:00;25,78;50,35
11 lug 2025, 23:00:00;25,93;50,70
